,id_nuts,area,lat,lon
514,DEG0N,0.001,51.00344,10.2588
515,DEG0P,0.166,50.90247,10.23144
516,DK011,0.009,55.64917,12.59008
517,DK012,0.038,55.69869,12.4361
518,DK013,0.121,55.87024,12.30723
519,DK014,0.046,55.15693,14.87368
520,DK021,0.139,55.59707,12.07476
521,DK022,0.83,55.35063,11.61665
522,DK031,0.403,55.28221,10.28384
523,DK032,1.103,55.43417,9.00356
524,DK041,1.038,56.27997,8.86656
525,DK042,0.842,56.21142,10.04398
526,DK050,1.029,57.08477,9.66837
527,EE001,0.731,59.32418,24.92558
528,EE004,1.501,58.54215,23.78841
529,EE006,1.453,59.03809,25.59359
530,EE007,0.657,59.20437,27.38568
531,EE008,2.596,58.24655,26.45917
532,EL515,0.201,40.96517,24.36937
533,EL521,0.212,40.53651,22.2665
534,EL522,0.479,40.69621,23.13851
535,EL301,0.009,38.02448,23.84402
536,EL302,0.009,38.00423,23.65823
537,EL303,0.01,37.98479,23.7592
538,EL304,0.008,37.91864,23.73414
539,EL305,0.159,38.0308,23.8968
540,EL306,0.134,38.0738,23.33892
541,EL307,0.023,37.51236,23.3816
542,EL411,0.109,39.17765,26.28837
543,EL412,0.019,37.74826,26.83142
544,EL413,0.084,38.4086,25.98422
545,EL421,0.136,35.98775,27.68414
546,EL422,0.029,37.84404,24.86849
547,EL431,0.275,35.15054,25.1065
548,EL432,0.161,35.1542,25.78882
549,EL433,0.13,35.26086,24.59065
550,EL434,0.244,35.39125,23.92843
551,EL511,0.446,41.23393,26.17203
552,EL512,0.182,41.15333,24.891
553,EL513,0.262,41.1068,25.50145
554,EL514,0.356,41.32582,24.21574
555,EL523,0.214,41.02935,22.71833
556,EL524,0.272,40.88455,22.12568
557,EL525,0.132,40.23908,22.42357
558,EL526,0.434,41.10762,23.51777
559,EL527,0.291,40.30157,23.60217
560,EL531,0.628,40.19623,21.61071
561,EL532,0.204,40.45403,21.13846
562,EL533,0.193,40.75765,21.43034
563,EL541,0.24,39.22638,20.97146
564,EL542,0.183,39.52197,20.35287
565,EL543,0.594,39.80657,20.79311
566,EL611,0.628,39.49983,21.72631
567,EL612,0.554,39.69073,22.4254
568,EL613,0.192,39.28559,22.89661
569,EL621,0.041,37.78965,20.77184
570,EL622,0.034,39.6597,19.83274
571,EL623,0.077,38.2369,20.55812
572,EL624,0.028,38.69964,20.64426
573,EL631,0.569,38.6867,21.3978
574,EL632,0.331,38.06247,21.89958
575,EL633,0.284,37.73208,21.53835
576,EL641,0.315,38.37395,23.14104
577,EL642,0.383,38.61708,23.72745
578,EL643,0.179,38.99019,21.67
579,EL644,0.46,38.88304,22.45771
580,EL645,0.225,38.5473,22.25559
581,EL651,0.684,37.51682,22.48582
582,EL652,0.197,37.90836,22.67517
583,EL653,0.661,37.0008,22.30581
584,ES111,0.876,43.147,-8.45146
585,ES112,1.092,43.01772,-7.45424
586,ES113,0.84,42.18909,-7.59468
587,ES114,0.481,42.41535,-8.45202
588,ES120,1.238,43.31383,-6.0087
589,ES130,0.581,43.17318,-4.07077
590,ES211,0.397,42.85163,-2.71877
591,ES212,0.209,43.16822,-2.17941
592,ES213,0.208,43.24247,-2.89019
593,ES220,1.165,42.68033,-1.63414
594,ES230,0.513,42.28888,-2.50107
595,ES241,1.76,42.20651,-0.07593
596,ES242,1.619,40.64949,-0.82611
597,ES243,1.861,41.61287,-1.08956
598,ES300,0.813,40.49799,-3.72154
